feature,rmse,nb_zeros,nunique
e176a204a,0.7860044480771083,2924,560
c2dae3a5a,0.7868073280987125,3768,212
1931ccfdd,0.7881105399943883,2950,588
c47340d97,0.788514182141832,2904,531
20aa07010,0.788979232190415,2965,714
66ace2992,0.7894370065161682,2938,629
62e59a501,0.7894970825667533,2982,658
f190486d6,0.7896173386391084,2915,765
de4e75360,0.7900277203789714,3778,214
9fd594eec,0.790164597197494,2939,739
fc99f9426,0.7904642573932159,2941,551
84d9d1228,0.7904779382149847,3803,251
491b9ee45,0.7905868677856296,2936,591
324921c7b,0.7906473753810174,2955,660
2288333b4,0.7907551956989138,3690,343
3f4a39818,0.7914510043478431,3813,233
58e2e02e6,0.7916677890658111,2946,776
b98f3e0d7,0.7916744928186055,3783,255
703885424,0.7921118832011284,2946,588
1db387535,0.7924648758603166,2934,562
6eef030c1,0.7925153545593043,3004,721
ba42e41fa,0.7926572477476599,3963,204
8e4d0fe45,0.7926966682724305,3720,383
371da7669,0.7928430587776688,3799,220
eeb9cd3aa,0.7932817908605991,2947,755
4da206d28,0.7933078992814218,3663,335
2eeadde2b,0.7935602094532843,3811,245
f58fb412c,0.793566849486662,3786,340
2b2a10857,0.7935763446958362,3791,353
5ac278422,0.7936172304876672,3813,276
024c577b9,0.7936617246972123,3050,673
f8405f8b9,0.7937435593156423,4195,106
0ff32eb98,0.7937472666211499,2894,544
32174174c,0.7937804520090246,3740,314
d6470c4ce,0.7938650067122042,3785,244
7e814a30d,0.793983351589113,3652,313
26fc93eb7,0.7940576537132884,2967,616
6f88afe65,0.7940612190391748,3801,224
540cc3cd1,0.7941344260281915,3774,223
72d34a148,0.7941468899634914,3795,286
0572565c2,0.7942477510483538,2912,530
c5a231d81,0.7943759284944923,2894,540
bc70cbc26,0.7944233644973511,3640,298
bb1113dbb,0.7944932980944608,3776,329
7623d805a,0.7945166831009562,3742,225
6cf7866c1,0.7946729316554464,3794,262
beb7f98fd,0.7948233350679177,3834,398
f1e0ada11,0.7949057761478695,3779,376
b8f892930,0.794956367277809,3797,223
83635fb67,0.7950250224953741,3746,254
47cd6e6e4,0.795049699916889,3790,338
230a025ca,0.795162303778101,3786,218
0dc4d6c7d,0.7952189771761983,3678,292
a39758dae,0.7952229199066926,3781,268
f39074b55,0.795224589416105,3713,331
45f6d00da,0.7952355054945071,3809,257
ea4046b8d,0.7952538495981465,3675,316
f16a196c6,0.7953232683058823,3802,243
a8b721722,0.795383342378198,3695,311
adb64ff71,0.7955072874444338,2912,539
2155f5e16,0.7955650721323225,3665,324
a6e871369,0.7956233839724021,3674,288
aca228668,0.7956767702596058,3655,291
70feb1494,0.7956812176568034,2927,582
04b88be38,0.7956830408052245,3870,267
aa164b93b,0.7957472018454058,3780,383
fb387ea33,0.7957714232910672,3673,329
27461b158,0.7957975839538127,3723,322
64e483341,0.7958368411266513,3859,437
ad009c8b9,0.7958886576200223,3617,316
2ec5b290f,0.7960621070338194,2982,666
350473311,0.7960803783822435,3688,247
2ad744c57,0.7961139682596493,4225,128
191e21b5f,0.7961325247068182,3779,201
91f701ba2,0.7961345934534589,2899,548
1fa0f78d0,0.7961762157637092,3911,204
c944a48b5,0.7962021539174602,3913,187
8c0a1fa32,0.7962058009381537,3815,333
b43a7cfd5,0.7963179568585741,3021,677
7de39a7eb,0.7963213040852853,4063,195
525635722,0.796342143881405,4150,171
15ace8c9f,0.7963446351580736,2974,725
f02ecb19c,0.7963490335133797,3539,275
8a088af55,0.7963632723879488,3820,356
5b943716b,0.7964541724213992,3723,345
ed8951a75,0.7964902716827966,3775,226
ef30f6be5,0.796494841332461,3656,329
861076e21,0.7964955031114881,3539,259
a3fc511cd,0.7964999036279043,3874,168
794e93ca6,0.7965220754723582,3695,310
d48c08bda,0.7965221245813032,3704,348
c928b4b74,0.7965302106921812,3674,387
b85fa8b27,0.7965707557384796,3667,315
762cbd0ab,0.7965878994149498,3789,337
87ffda550,0.7966182602273684,3705,351
0186620d7,0.7966884277153709,4201,101
fb49e4212,0.7967630263040903,2977,639
22ed6dba3,0.7967665791455557,3714,358
